ts,ms_played,master_metadata_track_name,master_metadata_album_artist_name,reason_start
2023-12-01T14:24:25Z,33850,Coração Vazio,Lil Chainz,fwdbtn
2023-12-01T14:24:30Z,4180,nightfall.wav,teefaygoo,fwdbtn
2023-12-01T14:24:57Z,25990,Calábria Funk,Gangsta Aspirin,fwdbtn
2023-12-01T14:25:29Z,32520,Sem Compromisso,Long beatz,fwdbtn
2023-12-01T14:27:15Z,105680,Sem Razão,MC PH,fwdbtn
2023-12-01T14:29:11Z,116572,Meu Ponto Fraco,Mc Gabzin,fwdbtn
2023-12-01T14:32:15Z,196063,THE DEVIL WEARS PRADA,PLVTINUM,trackdone
2023-12-01T14:34:33Z,150000,Call Me Sometime,Ballpoint,trackdone
2023-12-01T14:35:22Z,60112,Instagram,Prazer Bené,trackdone
2023-12-01T14:36:36Z,73370,Desce Garrafa,Long beatz,fwdbtn
2023-12-01T14:37:03Z,26930,Alien Ultra,Type Beats,fwdbtn
2023-12-01T14:37:17Z,13740,Fábrica de Jóia,Malcolm VL,fwdbtn
2023-12-01T14:39:22Z,125180,Se Afasta!,Akashi Cruz,fwdbtn
2023-12-01T14:41:50Z,148965,Runners,Jag,fwdbtn
2023-12-01T14:42:30Z,50944,Rim,Nauta,trackdone
2023-12-01T14:45:45Z,195692,Nosso Lance,UCLÃ,fwdbtn
2023-12-01T14:46:08Z,33707,Sem Fim - Slowed,The Zane,trackdone
2023-12-01T14:46:58Z,49760,Toman,LKZ na Voz,fwdbtn
2023-12-01T14:49:49Z,171707,SHOOTER,AmandesNoBeat,fwdbtn
2023-12-01T14:52:44Z,187514,DIAMANTE DE SAL,AmandesNoBeat,trackdone
2023-12-01T14:56:25Z,233227,NATURAL,Errijorge,trackdone
2023-12-01T14:59:25Z,191733,Water,Tyla,trackdone
2023-12-01T15:02:20Z,186454,The Danger In Starting A Fire,A Day To Remember,trackdone
2023-12-01T15:05:05Z,177739,Sentimento,REY RD,trackdone
2023-12-01T15:07:56Z,182571,ESTAGNADO,ohayomatsu,trackdone
2023-12-01T15:10:58Z,92,Your Fantasy,Dice,trackdone
2023-12-01T15:10:58Z,193993,Tropa do M 01,CausoMauzzi,trackdone
2023-12-01T15:11:15Z,16710,Tropa do M 01,CausoMauzzi,backbtn
2023-12-01T18:40:15Z,41860,Wop (Official Version),J. Dash,clickrow
2023-12-01T18:42:18Z,123244,Meu Ponto Fraco,Mc Gabzin,clickrow
2023-12-01T18:44:01Z,114950,Gostosa do App Vizinho,Mc Rodrigo do CN,trackdone
2023-12-01T18:56:36Z,75815,Sabe o Que Faz,Mc Gabzin,trackdone
2023-12-01T18:56:48Z,11110,Animals,Maroon 5,playbtn
2023-12-01T21:41:57Z,54365,Animals,Maroon 5,remote
2023-12-01T21:41:59Z,3303,GREENGREENGREEN,Chase Atlantic,clickrow
2023-12-01T21:45:09Z,188727,GREENGREENGREEN,Chase Atlantic,remote
2023-12-01T21:48:56Z,226835,OHMAMI,Chase Atlantic,trackdone
2023-12-01T21:52:12Z,195918,OUT THE ROOF,Chase Atlantic,trackdone
2023-12-01T21:56:17Z,244426,Caribbean Queen (No More Love On the Run),Billy Ocean,trackdone
2023-12-01T21:56:22Z,5618,Little Talks,Of Monsters and Men,trackdone
2023-12-01T22:00:10Z,226466,The Color Violet,Tory Lanez,clickrow
2023-12-01T22:02:42Z,151966,Lavender Sunflower,Tory Lanez,trackdone
2023-12-01T22:05:16Z,153923,Rose Bath,Kodoku,trackdone
2023-12-01T22:07:19Z,122868,Conversations,Xavier Mayne,trackdone
2023-12-01T22:10:41Z,200746,Thinkin Bout You,Frank Ocean,fwdbtn
2023-12-01T22:13:07Z,146389,I Know,Big Sean,trackdone
2023-12-01T22:14:45Z,97640,Sativa,Jhené Aiko,clickrow
2023-12-01T22:14:57Z,10614,Stay Ready (What A Life),Jhené Aiko,fwdbtn
2023-12-02T01:15:35Z,75487,I Know,Big Sean,clickrow
2023-12-02T03:40:15Z,35450,I Know,Big Sean,remote
2023-12-02T12:05:48Z,4805,Baby Glock,Dj Mack,clickrow
2023-12-02T12:07:51Z,121979,Baby Glock,Dj Mack,remote
2023-12-02T12:10:25Z,153230,Poxa Cupido,MC Tairon,trackdone
2023-12-02T12:12:32Z,127348,"TÃO LOUCA, LINDA SE VEM DE LALA",Funk SÉRIE GOLD,trackdone
2023-12-02T12:15:11Z,158768,O Que Que Tá Acontecendo,Mc Arizinho,trackdone
2023-12-02T12:17:24Z,132922,Jeito Canalha,MC Tairon,trackdone
2023-12-02T12:20:41Z,197380,Garota Certa,MC L da Vinte,trackdone
2023-12-02T12:22:45Z,123244,Meu Ponto Fraco,Mc Gabzin,clickrow
2023-12-02T12:25:03Z,137537,Sabe o Que Faz,Mc Gabzin,trackdone
2023-12-02T12:26:53Z,109845,Joga na Cara,MC Braz,trackdone
2023-12-02T12:29:28Z,155076,Aproveita e Desce,MC Luan da BS,trackdone
2023-12-02T12:31:15Z,107076,Se Você Quiser,Mc Kaio,trackdone
2023-12-02T12:33:06Z,527,Jeito Canalha,MC Tairon,clickrow
2023-12-02T12:33:07Z,110596,Onlyfans,DJ Lg do Sf,trackdone
2023-12-02T12:37:14Z,132922,Jeito Canalha,MC Tairon,clickrow
2023-12-02T12:41:21Z,221538,Garota Certa,MC L da Vinte,trackdone
2023-12-02T12:41:55Z,43303,Vai Namorar Bobo,Mc Anjim,trackdone
2023-12-02T12:45:16Z,111408,Meu Ponto Fraco,Mc Gabzin,clickrow
2023-12-02T12:45:18Z,1653,O Que Que Tá Acontecendo,Mc Arizinho,clickrow
2023-12-02T12:46:00Z,40876,Jeito Canalha,MC Tairon,clickrow
2023-12-02T12:49:07Z,190680,GREENGREENGREEN,Chase Atlantic,clickrow
2023-12-02T12:52:42Z,226835,OHMAMI,Chase Atlantic,trackdone
2023-12-02T12:55:36Z,182301,OUT THE ROOF,Chase Atlantic,trackdone
2023-12-02T12:55:41Z,5288,Thinkin Bout You,Frank Ocean,clickrow
2023-12-02T12:59:01Z,196901,Thinkin Bout You,Frank Ocean,remote
2023-12-02T13:02:17Z,196997,I Know,Big Sean,trackdone
2023-12-02T13:05:29Z,190679,GREENGREENGREEN,Chase Atlantic,clickrow
2023-12-02T13:08:12Z,163038,OHMAMI,Chase Atlantic,trackdone
2023-12-02T13:11:03Z,169719,HER,Chase Atlantic,clickrow
2023-12-02T13:11:58Z,55506,Heather,Conan Gray,trackdone
2023-12-02T13:15:51Z,231296,Consume (feat. Goon Des Garcons),Chase Atlantic,clickrow
2023-12-02T14:04:00Z,59442,Slow Down,Chase Atlantic,trackdone
2023-12-02T14:04:09Z,9190,I Know,Big Sean,appload
2023-12-02T14:05:52Z,100740,Black Out Days,Phantogram,clickrow
2023-12-02T14:08:37Z,165571,Best Wxy,VICE MONRÖE,clickrow
2023-12-02T14:09:05Z,38588,MIDNIGHT,Koven Wei,trackdone
2023-12-02T14:10:14Z,69690,Playboy,Natalie,fwdbtn
2023-12-02T14:10:16Z,1110,& Cry!,Middle Part,fwdbtn
2023-12-02T14:12:10Z,113190,IWY,alan vuong,fwdbtn
2023-12-02T14:12:18Z,6430,FWM,alan vuong,clickrow
2023-12-02T14:12:24Z,4690,FWM (Sped Up),alan vuong,clickrow
2023-12-02T14:13:30Z,64270,FWM,alan vuong,clickrow
2023-12-02T14:14:36Z,65950,BELONG 2 ME,alan vuong,fwdbtn
2023-12-02T14:15:39Z,62900,DON'T MATTER,Chase Amari,clickrow
2023-12-02T14:18:11Z,152523,FOCUS,Josh Makazo,clickrow
2023-12-02T14:22:11Z,251166,Consume (feat. Goon Des Garcons),Chase Atlantic,trackdone
2023-12-02T14:24:28Z,137778,older,Isabel LaRosa,fwdbtn
2023-12-02T14:27:11Z,175200,UNREQUITED,Ethan Low,trackdone
2023-12-02T14:29:56Z,175391,FOR HER,Xavier Mayne,trackdone
2023-12-02T14:30:55Z,59030,Eyes On You,SWIM,fwdbtn
2023-12-02T14:34:45Z,230010,Friends,Chase Atlantic,clickrow
2023-12-02T14:39:16Z,282640,Prey,The Neighbourhood,trackdone
2023-12-02T14:41:39Z,155912,JENNIFER'S BODY,PLVTINUM,trackdone
2023-12-02T14:41:45Z,16716,Shut up My Moms Calling,Hotel Ugly,trackdone
2023-12-02T14:46:01Z,256453,Paradise,Chase Atlantic,clickrow
2023-12-02T14:50:01Z,252000,Moonlight,Chase Atlantic,trackdone
2023-12-02T14:52:39Z,169720,HER,Chase Atlantic,trackdone
2023-12-02T15:11:22Z,13945,Heather,Conan Gray,trackdone
2023-12-02T15:13:00Z,97140,Dance,Florence Lil Flowers,clickrow
2023-12-02T15:13:09Z,8180,Reprise,Florence Lil Flowers,clickrow
2023-12-02T15:13:22Z,11800,Melhor Dia 8: Confia,Marcos Baroni,clickrow
2023-12-02T15:13:32Z,9960,Eclipse,Emori,clickrow
2023-12-02T15:14:10Z,36410,Garota do Sol,VMZ,clickrow
2023-12-02T15:14:15Z,4110,4I20,Lyvinte,clickrow
2023-12-02T15:14:24Z,7930,VAMPIRA,Flameboi Matt,clickrow
2023-12-02T15:14:30Z,5850,Ai Calica,ANAJU,clickrow
2023-12-02T15:14:33Z,2010,Projeto X,Lil Chainz,clickrow
2023-12-02T15:14:49Z,14410,Conheço Bem,Kweller,clickrow
2023-12-02T15:15:01Z,11250,Vampira,Skiter,clickrow
2023-12-02T15:15:10Z,8880,Saint Laurent,Tlust,clickrow
2023-12-02T15:15:17Z,5380,0-100,Vk Mac,clickrow
2023-12-02T15:15:30Z,12450,Vibe Animes 7,MHRAP,clickrow
2023-12-02T15:15:48Z,17300,Ninja Descolado 3,MHRAP,clickrow
2023-12-02T15:18:38Z,170434,Mushroom Mode,VMZ,clickrow
2023-12-02T15:25:40Z,210325,Sr Coffee,VMZ,trackdone
2023-12-02T15:25:45Z,4330,CoguNinja,VMZ,clickrow
2023-12-02T15:25:57Z,10700,Verão,VMZ,clickrow
2023-12-02T15:26:04Z,6480,Se Segura,MC Caverinha,clickrow
2023-12-02T15:26:11Z,6470,Cry Baby,Florence Lil Flowers,clickrow
2023-12-02T15:26:19Z,6680,Bombom,Florence Lil Flowers,clickrow
2023-12-02T15:26:24Z,3640,LET'S GET IT,Murillo Zenki,clickrow
2023-12-02T15:26:29Z,4030,VIVI,Tibery,clickrow
2023-12-02T15:26:48Z,18200,Quando a Onda Bater,Mih,clickrow
2023-12-02T15:26:56Z,6790,flashbacks,Luccas Carlos,clickrow
2023-12-02T15:27:00Z,4170,B.O,Kweller,fwdbtn
2023-12-02T15:27:05Z,4180,LSD,Lil Chainz,clickrow
2023-12-02T15:27:36Z,29870,Buquê de Flores,Manocchio,clickrow
2023-12-02T15:27:47Z,10180,Kingslayer (feat. BABYMETAL),Bring Me The Horizon,clickrow
2023-12-02T15:27:52Z,2740,maybe (feat. Bring Me The Horizon),mgk,clickrow
2023-12-02T15:28:01Z,8050,DiE4u,Bring Me The Horizon,clickrow
2023-12-02T15:28:17Z,15640,Oh No,Bring Me The Horizon,clickrow
2023-12-02T15:29:03Z,44090,What You Need,Bring Me The Horizon,clickrow
2023-12-02T17:19:24Z,2680,medicine,Bring Me The Horizon,clickrow
2023-12-02T17:22:06Z,161714,Ninja da Quebrada,MHRAP,clickrow
2023-12-02T17:22:06Z,4829,depois da meia noite,Djonga,trackdone
2023-12-02T17:24:18Z,132413,Uma Chance,CJota,clickrow
2023-12-02T17:27:50Z,224490,Esqueceu Seu Brinco,CJota,trackdone
2023-12-02T17:30:57Z,199388,E Se Eu Falasse o Que Sinto 2,CJota,trackdone
2023-12-02T17:32:57Z,131897,Ametista,WZ MC,trackdone
2023-12-02T17:39:23Z,168960,3 Doses,AmandesNoBeat,trackdone
2023-12-02T17:40:58Z,106329,flashbacks,Luccas Carlos,trackdone
2023-12-02T17:43:11Z,132610,B.O,Kweller,fwdbtn
2023-12-02T17:43:13Z,1780,Jardim,Th3agu,fwdbtn
2023-12-02T17:45:43Z,149570,Buquê de Flores,Manocchio,fwdbtn
2023-12-02T17:50:36Z,293706,LSD,Lil Chainz,fwdbtn
2023-12-02T17:52:56Z,7581,Dialogo,Yunk Vino,trackdone
2023-12-02T17:52:56Z,152222,Indiscreta,Enzo Cello,trackdone
2023-12-02T17:57:38Z,227024,LSD,Lil Chainz,clickrow
2023-12-02T17:57:46Z,19495,Indiscreta,Enzo Cello,trackdone
2023-12-02T17:58:08Z,20990,Could You Be Loved,Bob Marley & The Wailers,clickrow
2023-12-02T17:58:11Z,3390,Dancing Queen,ABBA,fwdbtn
2023-12-02T17:58:17Z,4770,Chiquitita,ABBA,fwdbtn
2023-12-02T17:58:27Z,8660,Waterloo,ABBA,fwdbtn
2023-12-02T17:58:34Z,7320,SOS,ABBA,fwdbtn
2023-12-02T17:58:40Z,4950,Caribbean Queen (No More Love On the Run),Billy Ocean,fwdbtn
2023-12-02T17:58:46Z,5440,Cruel Summer,Bananarama,fwdbtn
2023-12-02T17:58:51Z,5010,Me Gustas Tu,Manu Chao,fwdbtn
2023-12-02T17:59:04Z,12660,Saturday Sun,Vance Joy,fwdbtn
2023-12-02T17:59:10Z,5880,Amor Amor,Bomba Estéreo,fwdbtn
2023-12-02T17:59:16Z,5040,Tinnitus (Wanna be a rock),TOMORROW X TOGETHER,fwdbtn
2023-12-02T17:59:19Z,3030,Angeleyes,ABBA,fwdbtn
2023-12-02T17:59:34Z,14390,Gimme! Gimme! Gimme! (A Man After Midnight),ABBA,fwdbtn
2023-12-02T17:59:38Z,3560,California Dreamin' - Single Version,The Mamas & The Papas,fwdbtn
2023-12-02T17:59:45Z,6890,Plume,Caravan Palace,fwdbtn
2023-12-02T17:59:53Z,7750,Midnight City,M83,fwdbtn
2023-12-02T17:59:55Z,730,Pra Ser Sincero,Engenheiros Do Hawaii,clickrow
2023-12-02T18:00:00Z,4620,O Papa é Pop,Engenheiros Do Hawaii,fwdbtn
2023-12-02T18:00:05Z,4630,Perfeita Simetria,Engenheiros Do Hawaii,fwdbtn
2023-12-02T18:00:15Z,8400,18,Capital Inicial,clickrow
2023-12-02T18:00:26Z,10480,Primeiros Erros (Chove) (feat. Kiko Zambianchi) - Ao Vivo,Capital Inicial,clickrow
2023-12-02T18:02:10Z,103640,Natasha - Ao Vivo,Capital Inicial,clickrow
2023-12-02T18:02:15Z,4310,A Melhor Parte De Mim,NX Zero,fwdbtn
2023-12-02T18:02:27Z,11300,Um Outro Caminho,NX Zero,clickrow
2023-12-02T18:02:30Z,2140,Quase Sem Querer,Legião Urbana,clickrow
2023-12-02T18:02:40Z,8830,Quase Sem Querer,Legião Urbana,clickrow
2023-12-02T18:03:24Z,42990,À Sua Maneira (De Música Ligeira),Capital Inicial,clickrow
2023-12-02T18:03:36Z,11340,Primeiros Erros (Chove) (feat. Kiko Zambianchi) - Ao Vivo,Capital Inicial,clickrow
2023-12-02T18:04:10Z,31190,Primeiros Erros (Chove),Kiko Zambianchi,clickrow
2023-12-02T18:04:25Z,13590,"Em Dezembro de 81 (feat. MC Koringa, Leo Jaime & Dado Dolabella)",Ivo Meirelles,clickrow
2023-12-02T18:04:38Z,11500,Mais (feat. Capital Inicial) - Ao Vivo,Kiko Zambianchi,clickrow
2023-12-02T18:04:45Z,6860,Primeiros Erros (Chove) (feat. Kiko Zambianchi) - Ao Vivo,Capital Inicial,clickrow
2023-12-02T18:06:31Z,104790,Tudo Mal,Capital Inicial,clickrow
2023-12-02T18:09:19Z,168030,Leve Desespero,Capital Inicial,fwdbtn
2023-12-02T18:09:30Z,10130,Independência,Capital Inicial,fwdbtn
2023-12-02T18:11:57Z,147580,Toda Forma de Amor,Lulu Santos,fwdbtn
2023-12-02T18:14:38Z,160570,Um certo alguém,Lulu Santos,fwdbtn
2023-12-02T18:14:40Z,1850,Como eu quero,Kid Abelha,fwdbtn
2023-12-02T18:22:39Z,480030,Último Romance,Los Hermanos,fwdbtn
2023-12-02T18:25:00Z,152640,Quem Sabe,Los Hermanos,trackdone
2023-12-02T18:25:01Z,11679,Quatro Vezes Você,Capital Inicial,trackdone
2023-12-02T18:29:24Z,263440,Último Romance,Los Hermanos,clickrow
2023-12-02T18:29:35Z,22239,Quem Sabe,Los Hermanos,trackdone
2023-12-02T18:33:58Z,263440,Último Romance,Los Hermanos,clickrow
2023-12-02T18:36:19Z,152640,Quem Sabe,Los Hermanos,trackdone
2023-12-02T18:38:29Z,141249,Quatro Vezes Você,Capital Inicial,trackdone
2023-12-02T18:42:45Z,4059,Quem Sabe,Los Hermanos,trackdone
2023-12-02T18:42:45Z,256641,Último Romance,Los Hermanos,clickrow
2023-12-02T18:58:18Z,263440,Último Romance,Los Hermanos,clickrow
2023-12-02T19:00:32Z,4239,Quatro Vezes Você,Capital Inicial,trackdone
2023-12-02T19:00:32Z,146027,Quem Sabe,Los Hermanos,trackdone
2023-12-02T19:00:33Z,1160,Tempo Perdido,Legião Urbana,fwdbtn
2023-12-02T19:00:35Z,1570,Mulher de fases,Raimundos,fwdbtn
2023-12-02T19:00:36Z,1050,Hoje A Noite Não Tem Luar (Hoy Me Voy Para México) - Ao Vivo Em São Paulo / 1999,Legião Urbana,fwdbtn
2023-12-02T19:00:37Z,830,À Sua Maneira (De Música Ligeira),Capital Inicial,fwdbtn
2023-12-02T19:04:40Z,60020,Maré,NX Zero,fwdbtn
2023-12-02T19:49:42Z,60970,Maré,NX Zero,appload
2023-12-02T19:51:28Z,105600,Where Have You Been,Rihanna,clickrow
2023-12-02T19:52:58Z,89490,Only Girl (In The World),Rihanna,clickrow
2023-12-02T19:52:59Z,440,Collide (feat. Tyga),Justine Skye,clickrow
2023-12-02T19:53:11Z,9530,What's My Name?,Rihanna,clickrow
2023-12-02T19:54:29Z,76750,We Found Love,Rihanna,clickrow
2023-12-02T19:54:38Z,8980,Diamonds,Rihanna,fwdbtn
2023-12-02T19:54:41Z,2700,Umbrella,Rihanna,fwdbtn
2023-12-02T19:54:46Z,3820,Love On The Brain,Rihanna,fwdbtn
2023-12-02T19:54:48Z,2010,Only Girl (In The World),Rihanna,fwdbtn
2023-12-02T19:54:53Z,5080,Love The Way You Lie,Eminem,fwdbtn
2023-12-02T19:58:35Z,222160,This Is What You Came For,Calvin Harris,fwdbtn
2023-12-02T19:59:06Z,42339,Needed Me,Rihanna,trackdone
2023-12-02T19:59:16Z,9730,FourFiveSeconds,Rihanna,fwdbtn
2023-12-02T19:59:19Z,2790,Cuide Bem Do Seu Amor,Os Paralamas Do Sucesso,clickrow
2023-12-02T20:01:55Z,155110,Meu Erro,Os Paralamas Do Sucesso,clickrow
2023-12-02T20:05:34Z,219933,Cuide Bem Do Seu Amor,Os Paralamas Do Sucesso,fwdbtn
2023-12-02T20:07:26Z,122846,Exagerado,Cazuza,trackdone
2023-12-02T20:12:14Z,255893,O Passageiro (The Passenger),Capital Inicial,clickrow
2023-12-02T20:16:46Z,282356,Pra Você Guardei O Amor,Nando Reis,trackdone
2023-12-02T20:20:57Z,251933,Por Onde Andei - Ao Vivo,Nando Reis,clickrow
2023-12-02T20:24:23Z,217533,Ilusão,NX Zero,trackdone
2023-12-02T20:27:24Z,193533,Um Outro Caminho,NX Zero,trackdone
2023-12-02T20:28:20Z,66819,Toda Forma de Amor,Lulu Santos,trackdone
2023-12-02T20:32:24Z,244266,Primeiros Erros (Chove) (feat. Kiko Zambianchi) - Ao Vivo,Capital Inicial,clickrow
2023-12-02T20:33:43Z,89633,Eu Nunca Disse Adeus,Capital Inicial,trackdone
2023-12-02T20:37:01Z,198370,18,Capital Inicial,fwdbtn
2023-12-02T20:37:12Z,10440,Eu e Minha Estupidez,Capital Inicial,fwdbtn
